bill_id,bill_date,customer_id,customer_name,whatsapp_number,product_barcode,product_name,category,sub_category,quantity,unit_price,subtotal
1,2026-06-25 06:19:29,144,Arjun Jain,9260508018,8906000000071,Hide & Seek Cream Biscuits Premium 150g,Biscuits & Snacks,Cream Biscuits,1,49.4,49.4
1,2026-06-25 06:19:29,144,Arjun Jain,9260508018,8906000000241,Del Monte Pasta Premium 500g,Instant Foods,Pasta,1,79.98,79.98
1,2026-06-25 06:19:29,144,Arjun Jain,9260508018,8906000000173,Go Cheese Value Pack 200g,Dairy & Bakery,Cheese,1,114.4,114.4
1,2026-06-25 06:19:29,144,Arjun Jain,9260508018,8906000000047,Farm Fresh Eggs Lite 6pc,Dairy & Bakery,Eggs,2,47.5,95.0
1,2026-06-25 06:19:29,144,Arjun Jain,9260508018,8906000000355,Treat Cream Biscuits Jumbo 100g,Biscuits & Snacks,Cream Biscuits,1,73.5,73.5
2,2026-03-16 06:13:29,70,Sai Patil,9100051553,8906000000074,Dabur Red Toothpaste Classic 150g,Oral Care,Toothpaste,2,144.0,288.0
2,2026-03-16 06:13:29,70,Sai Patil,9100051553,8906000000114,Sensodyne Toothbrush Original 4pc,Oral Care,Toothbrush,1,40.0,40.0
2,2026-03-16 06:13:29,70,Sai Patil,9100051553,8906000000231,Colgate Mouthwash Classic 250ml,Oral Care,Mouthwash,1,27.9,27.9
2,2026-03-16 06:13:29,70,Sai Patil,9100051553,8906000000498,Nestle Chocolates Value Pack 100g,Checkout Essentials,Chocolates,1,45.0,45.0
2,2026-03-16 06:13:29,70,Sai Patil,9100051553,8906000000157,Dinshaw's Milk Value Pack 1L,Dairy & Bakery,Milk,1,33.95,33.95
2,2026-03-16 06:13:29,70,Sai Patil,9100051553,8906000000099,Dhampur Sugar Family Pack 1kg,Staples,Sugar,2,201.88,403.76
3,2026-06-27 00:53:29,36,Saanvi Agrawal,9922071511,8906000000365,Act II Popcorn Mini 30g,Biscuits & Snacks,Popcorn,1,80.75,80.75
3,2026-06-27 00:53:29,36,Saanvi Agrawal,9922071511,8906000000278,L'Oreal Conditioner Mini 175ml,Hair Care,Conditioner,2,130.2,260.4
3,2026-06-27 00:53:29,36,Saanvi Agrawal,9922071511,8906000000284,Amul Paneer Lite 500g,Dairy & Bakery,Paneer,1,265.78,265.78
4,2026-03-17 06:56:29,31,Kunal Verma,9519358374,8906000000074,Dabur Red Toothpaste Classic 150g,Oral Care,Toothpaste,2,144.0,288.0
4,2026-03-17 06:56:29,31,Kunal Verma,9519358374,8906000000277,Colgate Toothbrush Lite 1pc,Oral Care,Toothbrush,3,70.2,210.6
4,2026-03-17 06:56:29,31,Kunal Verma,9519358374,8906000000404,Closeup Mouthwash Lite 250ml,Oral Care,Mouthwash,1,242.5,242.5
4,2026-03-17 06:56:29,31,Kunal Verma,9519358374,8906000000126,Fortune Dal Fresh 2kg,Staples,Dal,1,242.06,242.06
4,2026-03-17 06:56:29,31,Kunal Verma,9519358374,8906000000201,Britannia Butter Lite 500g,Dairy & Bakery,Butter,1,29.4,29.4
4,2026-03-17 06:56:29,31,Kunal Verma,9519358374,8906000000248,Watermelon 1kg,Fruits & Vegetables,Fresh Fruits,1,169.26,169.26
5,2026-05-22 02:41:29,97,Siddhi Gangan,9748595325,8906000000430,Sunsilk Shampoo Classic 180ml,Hair Care,Shampoo,1,506.88,506.88
5,2026-05-22 02:41:29,97,Siddhi Gangan,9748595325,8906000000335,Tresemme Conditioner Fresh 175ml,Hair Care,Conditioner,1,259.6,259.6
5,2026-05-22 02:41:29,97,Siddhi Gangan,9748595325,8906000000468,Parachute Hair Oil Family Pack 200ml,Hair Care,Hair Oil,1,238.48,238.48
5,2026-05-22 02:41:29,97,Siddhi Gangan,9748595325,8906000000421,Listerine Mouthwash Original 250ml,Oral Care,Mouthwash,4,90.25,361.0
5,2026-05-22 02:41:29,97,Siddhi Gangan,9748595325,8906000000142,Gowardhan Butter Mini 100g,Dairy & Bakery,Butter,1,285.0,285.0
5,2026-05-22 02:41:29,97,Siddhi Gangan,9748595325,8906000000262,Pachranga Pickles Regular 1kg,Cooking Essentials,Pickles,1,63.05,63.05
5,2026-05-22 02:41:29,97,Siddhi Gangan,9748595325,8906000000291,MDH Masala Classic 200g,Cooking Essentials,Masala,1,227.85,227.85
5,2026-05-22 02:41:29,97,Siddhi Gangan,9748595325,8906000000216,Clinic Plus Shampoo Jumbo 340ml,Hair Care,Shampoo,1,574.75,574.75
6,2026-04-04 09:32:29,32,Krish Maheshwari,9796120878,8906000000434,Pampers Baby Care Mini 200ml,Baby & Household,Baby Care,1,151.9,151.9
7,2026-05-19 00:49:29,141,Sai Rathi,9704686111,8906000000105,Soulfull Cereal Fresh 500g,Tea Coffee Breakfast,Cereal,1,82.45,82.45
7,2026-05-19 00:49:29,141,Sai Rathi,9704686111,8906000000021,Maggi Soup Original 100g,Instant Foods,Soup,1,28.5,28.5
7,2026-05-19 00:49:29,141,Sai Rathi,9704686111,8906000000457,Patanjali Honey Mini 500g,Tea Coffee Breakfast,Honey,1,26.19,26.19
7,2026-05-19 00:49:29,141,Sai Rathi,9704686111,8906000000339,Saffola Honey Value Pack 250g,Tea Coffee Breakfast,Honey,2,220.0,440.0
8,2026-04-21 23:55:29,73,Siddhi Patil,9271026767,8906000000461,Fortune Atta Regular 1kg,Staples,Atta,1,101.2,101.2
8,2026-04-21 23:55:29,73,Siddhi Patil,9271026767,8906000000449,Gowardhan Ghee Classic 1L,Cooking Essentials,Ghee,1,485.76,485.76
8,2026-04-21 23:55:29,73,Siddhi Patil,9271026767,8906000000262,Pachranga Pickles Regular 1kg,Cooking Essentials,Pickles,1,63.05,63.05
8,2026-04-21 23:55:29,73,Siddhi Patil,9271026767,8906000000078,Cadbury Chocolates Original 100g,Checkout Essentials,Chocolates,2,63.7,127.4
8,2026-04-21 23:55:29,73,Siddhi Patil,9271026767,8906000000012,Pomegranate 1kg,Fruits & Vegetables,Fresh Fruits,2,64.0,128.0
9,2026-06-07 20:51:29,139,Rahul Sharma,9423597371,8906000000461,Fortune Atta Regular 1kg,Staples,Atta,2,101.2,202.4
9,2026-06-07 20:51:29,139,Rahul Sharma,9423597371,8906000000445,Patanjali Ghee Fresh 1L,Cooking Essentials,Ghee,1,596.0,596.0
